Estimates,Profits,High Profit,Revenue,High Revenue,Number Employees,Any Worker,Owner's Hours,Monthly Consumption
Original,-59.7015276056749,-0.0092760554850906,-737.198640057355,-0.0201926415283977,-0.0241724343538839,0.00818856773425696,-0.655487419698465,-7.55055653113262
Theta,-38.6420962008573,-0.0071712697623442,-692.818164168469,-0.0195987057466396,-0.0228025722193471,0.0067849015582916,-0.77341962932973,-7.33714247318732
Attrition,2.08613728129206,2.08613728129206,2.15343203230148,2.15343203230148,1.78331090174966,1.78331090174966,1.8842530282638,0
