outcome,treatment,no_sfe,with_sfe,attrition
Application rate,incentive,0.113647608536498,0.114627777194812,0
Application rate,wage,0.185895088154665,0.185869419034265,0
Cognitive,incentive,0.248029553684588,0.339092738860228,49.1149498827042
Cognitive,wage,0.193567700440496,0.224423975362804,49.1149498827042
Noncognitive,incentive,-0.0951148926634318,-0.116302225693421,49.3921944977607
Noncognitive,wage,0.170268725314198,0.170098533716546,49.3921944977607
Experience,incentive,-0.0911546381545551,-0.152016049829893,50.7144380464918
Experience,wage,-0.0633980744659,-0.0282785787433707,50.7144380464918
